-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
-1.00,-1.00,-1.00,-1.00,-1.00,9.43,-1.00,10.38,12.97,11.60,14.91,15.62,17.10,12.90,9.36,7.80,8.31,7.43,4.60,3.22,4.33,3.84,3.92,5.12,4.83,5.50,6.50,6.35,6.46,10.21,12.13,8.32,6.72,6.70,6.20,6.42,7.56
-1.00,-1.00,-1.00,-1.00,-1.00,9.01,7.81,8.54,9.62,14.82,19.57,19.56,20.39,14.84,9.97,9.71,8.41,6.43,5.24,3.57,3.65,3.97,3.58,4.13,4.97,4.96,5.43,5.71,7.36,10.20,10.82,11.76,5.96,7.06,7.44,6.46,9.60
-1.00,-1.00,-1.00,-1.00,-1.00,6.56,6.43,6.96,9.85,17.49,27.34,23.59,21.54,18.57,11.85,10.48,6.79,5.33,7.30,4.19,3.41,3.75,4.05,4.38,5.47,4.76,5.04,6.08,7.09,9.06,7.04,11.39,6.30,6.77,7.44,7.67,6.79
18.58,16.41,-1.00,-1.00,-1.00,6.28,5.96,5.84,6.46,14.95,23.81,21.73,20.52,17.73,13.06,11.28,7.39,4.84,5.26,3.84,3.80,4.42,3.79,4.49,5.72,4.78,4.89,5.95,7.10,8.43,7.55,8.83,6.74,13.73,7.30,7.78,4.34
21.59,17.72,14.61,11.00,7.48,4.31,4.21,4.94,6.14,9.24,19.69,27.99,23.84,18.15,14.48,10.61,8.52,5.74,5.30,3.70,3.44,3.49,4.08,3.81,4.97,4.86,5.52,5.69,6.33,7.26,7.96,7.13,6.59,9.39,9.31,11.67,6.46
24.24,26.81,32.13,22.92,15.31,10.73,7.92,6.28,7.25,8.83,13.37,24.57,25.62,18.56,11.95,9.88,8.30,4.20,4.63,3.80,3.64,3.68,3.74,3.71,4.59,4.91,5.23,5.36,5.53,8.10,7.45,8.27,9.60,9.17,9.19,7.98,7.27
23.24,26.62,31.35,33.53,26.89,20.63,11.44,9.98,8.47,9.09,12.01,23.56,23.47,18.62,12.71,8.27,7.64,3.96,4.47,3.61,3.34,3.23,3.52,3.91,4.29,4.68,4.84,4.97,4.94,5.71,6.99,8.34,8.64,8.18,8.33,8.52,6.48
20.63,23.28,27.39,34.59,28.66,19.18,13.64,11.31,9.26,9.26,14.14,19.46,21.30,13.14,11.14,7.94,5.09,3.12,3.83,3.16,2.71,3.31,3.62,4.14,4.50,4.70,4.84,5.25,5.25,5.31,6.03,7.37,8.77,9.38,9.72,9.43,8.75
-1.00,19.74,20.98,19.62,18.09,15.54,11.64,9.80,9.22,9.14,13.07,13.37,12.51,10.79,8.02,5.08,6.12,4.40,3.18,2.70,2.94,3.10,3.47,3.77,4.48,4.49,4.73,5.30,5.47,5.38,6.66,7.83,8.93,9.33,10.15,8.57,9.28
-1.00,16.29,16.49,16.79,14.83,14.38,11.00,9.85,8.23,11.59,16.48,16.52,12.80,9.68,6.87,4.14,2.58,2.55,2.97,2.65,2.65,2.89,3.37,3.65,3.60,4.12,4.66,4.80,5.29,5.75,7.00,7.37,8.49,9.59,8.30,9.73,11.03
-1.00,15.44,15.78,17.92,16.06,11.64,9.95,12.79,15.51,15.33,15.43,14.93,12.18,8.45,4.64,2.51,3.15,3.33,3.53,2.64,2.81,2.92,3.01,3.30,3.46,3.68,4.18,4.51,4.93,5.36,6.17,5.83,7.26,7.22,8.43,10.17,10.42
-1.00,15.80,17.48,21.81,20.12,14.79,9.98,11.65,15.93,17.11,16.79,14.60,11.24,7.80,4.83,2.53,2.73,3.06,3.24,3.19,2.61,2.78,2.89,3.29,3.76,4.49,4.65,5.03,3.59,3.51,4.06,4.98,5.54,6.22,8.23,10.96,10.92
-1.00,15.97,15.53,18.48,14.81,12.73,10.87,15.48,23.16,26.38,20.47,18.97,12.84,7.61,9.16,5.96,4.28,3.28,3.17,2.98,2.98,2.63,2.64,3.66,4.11,6.12,10.46,8.66,5.23,3.42,4.37,5.15,4.78,4.73,5.79,8.65,8.92
-1.00,-1.00,23.86,30.38,15.51,11.69,10.73,12.64,17.84,24.09,21.08,14.73,8.73,6.74,5.89,5.73,4.79,3.90,3.27,2.90,2.60,2.67,3.57,4.17,4.63,9.82,9.69,4.80,4.07,3.89,3.61,3.99,4.21,5.07,6.23,7.51,7.15
-1.00,-1.00,22.03,30.13,18.61,10.99,9.26,8.77,13.09,20.24,20.14,10.36,6.71,4.67,3.88,3.36,2.91,3.15,3.04,2.81,2.68,2.79,3.29,4.32,6.72,9.21,6.26,5.21,4.77,4.09,3.69,4.14,3.85,6.61,8.57,7.83,6.86
-1.00,16.95,17.94,24.65,18.21,10.37,8.75,9.33,10.30,16.01,20.84,17.64,6.16,4.03,3.64,3.48,3.18,3.25,3.28,3.16,3.26,3.06,4.42,5.60,6.31,5.21,4.20,8.04,5.91,3.59,3.66,6.43,5.70,7.27,8.14,5.67,5.48
-1.00,16.09,19.71,18.06,13.25,10.01,9.30,9.23,13.60,16.80,14.24,9.55,4.29,3.56,3.33,3.18,3.20,3.45,3.51,3.35,4.42,5.50,4.44,5.49,5.40,5.89,3.68,8.32,12.03,11.08,7.95,8.58,8.09,11.02,9.43,6.47,7.56
-1.00,16.24,21.34,25.64,15.13,10.04,9.98,13.58,18.61,19.68,15.10,8.43,3.44,2.91,3.31,3.41,3.21,3.38,3.52,3.11,2.75,3.11,4.19,5.70,5.88,6.29,2.77,3.69,6.40,7.11,5.33,7.66,6.57,6.88,9.80,7.57,7.11
-1.00,15.24,16.28,17.22,13.21,9.80,10.20,15.09,19.43,18.95,17.26,8.79,3.18,2.67,2.90,3.66,3.39,2.99,4.11,3.19,3.76,4.57,5.02,5.70,5.38,4.18,4.11,3.74,4.08,4.95,7.72,7.12,6.50,7.24,9.04,10.39,11.42
-1.00,16.66,18.23,19.23,12.63,9.84,11.74,15.16,18.02,18.99,16.54,5.45,2.97,2.69,2.91,3.99,6.17,5.45,5.89,4.25,3.69,3.83,4.18,5.53,7.61,3.50,3.05,3.51,3.90,4.59,5.70,5.72,5.89,7.79,6.92,9.57,11.26
-1.00,17.32,18.40,16.64,11.55,9.49,13.40,20.69,19.54,19.59,20.42,9.65,2.81,2.59,2.71,3.33,3.94,3.56,3.29,4.00,4.26,4.76,4.57,7.41,7.28,5.03,3.06,3.36,3.33,3.59,3.81,4.72,6.68,7.15,7.30,8.29,10.02
-1.00,16.37,18.94,15.79,12.52,9.70,10.29,12.94,19.61,17.24,14.15,8.65,4.71,3.44,2.75,2.53,2.97,3.59,3.57,5.05,4.76,4.53,5.08,4.44,4.26,3.67,3.37,3.04,3.35,3.30,3.32,3.85,4.97,6.81,7.32,9.09,7.47
15.82,16.26,19.51,13.23,11.09,10.89,12.08,13.76,12.88,15.05,9.45,4.90,5.43,4.09,2.91,2.68,2.70,2.77,2.97,2.49,3.05,3.40,3.58,3.41,3.54,3.01,3.17,3.49,3.31,3.13,2.97,3.37,3.72,5.11,5.97,6.28,9.71
15.13,15.74,18.34,12.77,9.03,11.82,16.36,11.85,14.16,14.68,8.82,6.43,5.01,2.74,2.73,2.56,2.54,2.54,2.72,3.07,2.52,2.76,4.35,3.19,3.25,3.16,3.20,3.42,2.96,3.51,3.58,2.78,3.15,3.96,4.35,5.17,6.32
14.94,14.35,16.49,12.06,7.83,10.36,14.35,12.24,13.46,12.74,8.24,6.58,5.40,3.29,2.53,2.82,2.49,2.43,2.44,2.68,2.63,2.42,2.84,2.58,2.83,3.06,3.11,3.20,3.52,4.01,5.26,3.83,2.71,3.02,3.17,3.32,4.38
22.21,17.11,15.03,9.71,9.23,9.41,10.05,12.23,13.05,13.67,7.67,5.52,7.29,5.43,5.68,2.84,3.22,2.41,2.60,2.61,2.63,2.49,2.86,4.55,4.29,3.64,2.59,2.80,3.17,3.48,4.75,5.62,3.27,2.57,2.57,2.97,3.26
28.91,30.62,21.49,10.82,8.02,10.52,9.40,10.13,10.62,11.18,5.54,5.46,5.57,5.10,8.30,4.88,2.93,3.39,3.29,2.78,2.74,2.73,3.63,8.03,2.92,2.38,2.29,2.49,2.67,3.10,6.24,4.95,5.25,4.19,2.97,2.91,3.31
25.49,29.96,25.00,13.64,10.06,8.16,5.91,7.47,10.04,10.26,5.37,6.03,3.85,3.93,4.90,4.98,4.07,5.05,3.57,3.21,2.87,2.51,2.90,3.35,2.33,2.53,2.69,2.74,2.76,2.61,3.76,3.17,3.61,3.57,3.09,2.77,2.95
